=== modal probe tag=corpus_v8ref_vs_v7ref ===
script tools/probe_corpus_moves.py | env {'PFENS': '/repo/results/leak_suite/fens.json', 'PBUDGET_MS': '2600'}
A = /tmp/chessathon-v8ref
B = /tmp/chessathon-v7ref

----- tree A (/tree_a) rc=0 -----
=== corpus probe [/tree_a] fens=107 budget=2600ms ===
  25 | round-70-vs-kingsguard | ply  48 | Bg5     | pick=h4g5   | static=  -192 | eval_before= -1713
  26 | round-70-vs-kingsguard | ply  50 | f6      | pick=f7f6   | static=  -165 | eval_before= -1271
  27 | round-71-vs-magnus     | ply  10 | Qg3     | pick=f3g3   | static=   140 | eval_before=   132
  28 | round-71-vs-magnus     | ply  18 | Be2     | pick=c3d5   | static=    56 | eval_before=   467
  29 | round-71-vs-magnus     | ply  38 | fxe3    | pick=f8g7   | static=   357 | eval_before=   724
  30 | round-71-vs-magnus     | ply  68 | gxh3    | pick=g2h3   | static=   799 | eval_before=  1640
  31 | round-73-vs-skylab     | ply  53 | Qd3+    | pick=c2d3   | static=   504 | eval_before=  1983
  32 | round-73-vs-skylab     | ply  57 | exd5    | pick=e6d5   | static=   152 | eval_before=  2513
  33 | round-74-vs-rohan      | ply  12 | Bd2     | pick=e1g1   | static=   161 | eval_before=    18
  34 | round-74-vs-rohan      | ply  24 | Ne5     | pick=c3a5   | static=   128 | eval_before=     7
  35 | round-74-vs-rohan      | ply  34 | Bb1     | pick=c2b1   | static=   165 | eval_before=  -118
  36 | round-74-vs-rohan      | ply  36 | Qc2     | pick=d2c2   | static=   123 | eval_before=   -37
  37 | round-74-vs-rohan      | ply  38 | Qxc4    | pick=c2c4   | static=   121 | eval_before=  -301
  38 | round-74-vs-rohan      | ply  54 | Qd2     | pick=b4f4   | static=   483 | eval_before=   593
  39 | round-74-vs-rohan      | ply  62 | g3      | pick=f3g3   | static=   508 | eval_before=    68
  40 | round-74-vs-rohan      | ply  66 | Qa5     | pick=a6a5   | static=   461 | eval_before=  -598
  41 | round-74-vs-rohan      | ply  70 | Qa5     | pick=b1g6   | static=   483 | eval_before=  -427
  42 | round-74-vs-rohan      | ply  98 | Kb5     | pick=b4b5   | static=  -640 | eval_before= -1243
  43 | round-74-vs-rohan      | ply 112 | Kb5     | pick=b6b5   | static=  -881 | eval_before= -6921
  44 | round-75-vs-prophylaxi | ply  46 | Bxh6    | pick=g7h6   | static=    21 | eval_before=   362
  45 | round-75-vs-prophylaxi | ply  86 | Bc6     | pick=d5a8   | static=   716 | eval_before=  7964
  46 | round-76-vs-mcai       | ply  32 | Nxh6+   | pick=b2c3   | static=  -176 | eval_before=    56
  47 | round-76-vs-mcai       | ply  34 | Nxc3    | pick=b2c3   | static=  -105 | eval_before=  -455
  48 | round-76-vs-mcai       | ply  46 | Rb6     | pick=e4d2   | static=  -313 | eval_before=  -780
  49 | round-76-vs-mcai       | ply  48 | Nd2     | pick=e4d2   | static=  -318 | eval_before= -1087
  50 | round-76-vs-mcai       | ply  50 | Rb3     | pick=h2h4   | static=  -345 | eval_before=  -958
  51 | round-76-vs-mcai       | ply  76 | Rd6     | pick=f1e1   | static=  -405 | eval_before= -1054
  52 | round-76-vs-mcai       | ply  96 | Kc4     | pick=d3c4   | static=  -482 | eval_before= -1012
  53 | round-76-vs-mcai       | ply 122 | Rxh8    | pick=a8h8   | static=  -812 | eval_before=  -959
  54 | round-76-vs-mcai       | ply 134 | Rh6+    | pick=g4g5   | static=  -230 | eval_before= -1077
  55 | round-76-vs-mcai       | ply 144 | Rh1+    | pick=g1h1   | static=  -950 | eval_before= -1823
  56 | round-77-vs-frisky     | ply  17 | Qb6     | pick=a7a6   | static=   -31 | eval_before=   394
  57 | round-77-vs-frisky     | ply  35 | Nxe5    | pick=d6e5   | static=   378 | eval_before=   571
  58 | round-77-vs-frisky     | ply  41 | Nb2     | pick=c4b2   | static=   250 | eval_before=   282
  59 | round-80-vs-gmmmmm     | ply   7 | Bd7     | pick=g4f3   | static=   -19 | eval_before=   -66
  60 | round-80-vs-gmmmmm     | ply  11 | Na6     | pick=c5a6   | static=   -47 | eval_before=   -60
  61 | round-80-vs-gmmmmm     | ply  21 | Qf6     | pick=d8f6   | static=   -69 | eval_before=    56
  62 | round-81-vs-magnus-car | ply  38 | Bxf6    | pick=c3f6   | static=   257 | eval_before=   882
  63 | round-82-vs-team7347   | ply  32 | Kf2     | pick=e1f2   | static=    -3 | eval_before=  -172
  64 | round-82-vs-team7347   | ply  40 | e4      | pick=e3e4   | static=     0 | eval_before=  -168
  65 | round-82-vs-team7347   | ply  48 | Rh4     | pick=h1h4   | static=    59 | eval_before=    32
  66 | round-82-vs-team7347   | ply  62 | Qc5+    | pick=b6a6   | static=   114 | eval_before=     0
  67 | round-83-vs-404-not-fo | ply  21 | Qd8     | pick=e8g8   | static=   -49 | eval_before=   -51
  68 | round-83-vs-404-not-fo | ply  29 | O-O-O   | pick=e8c8   | static=   -62 | eval_before=   -54
  69 | round-83-vs-404-not-fo | ply  31 | Bg5     | pick=f6g5   | static=   -63 | eval_before=  -174
  70 | round-83-vs-404-not-fo | ply  35 | Qa6     | pick=a7a6   | static=   -21 | eval_before=   -53
  71 | round-83-vs-404-not-fo | ply  39 | Rhd8    | pick=a6c4   | static=   -57 | eval_before=   -43
  72 | round-83-vs-404-not-fo | ply  41 | Kc7     | pick=c8b8   | static=   -41 | eval_before=   -44
  73 | round-83-vs-404-not-fo | ply  75 | Bxe5    | pick=f8h8   | static=   -68 | eval_before=  -124
  74 | round-83-vs-404-not-fo | ply 109 | Ka7     | pick=d8g8   | static=  -248 | eval_before=  -740
  75 | round-83-vs-404-not-fo | ply 115 | Ka8     | pick=a7a8   | static=  -257 | eval_before= -1386
  76 | round-83-vs-404-not-fo | ply 117 | Ka7     | pick=a8a7   | static=  -274 | eval_before=  -988
  77 | round-83-vs-404-not-fo | ply 121 | Re8     | pick=f8c8   | static=  -294 | eval_before= -1879
  78 | round-90-vs-chessbuste | ply  29 | Rc6     | pick=c3c1   | static=    10 | eval_before=   189
  79 | round-90-vs-chessbuste | ply  59 | Ne6+    | pick=a7a5   | static=   -94 | eval_before=   262
  80 | round-90-vs-chessbuste | ply  63 | Nf8     | pick=e6d8   | static=   -52 | eval_before=    22
  81 | round-90-vs-chessbuste | ply  69 | Kg3     | pick=h3h4   | static=   -51 | eval_before=  -710
  82 | round-90-vs-chessbuste | ply  81 | Ke1     | pick=f1g1   | static=  -206 | eval_before= -1366
  83 | round-91-vs-epoch-mate | ply  86 | g4      | pick=a3a2   | static=   730 | eval_before=  1322
  84 | round-92-vs-team-i-lov | ply  54 | Kg3     | pick=d4e3   | static=   126 | eval_before=     0
  85 | round-92-vs-team-i-lov | ply  56 | Qb3     | pick=d5b3   | static=   103 | eval_before=  -180
